lims_pedon_id,user_pedon_id,indicator_code,LRR,MLRA,applicable_here,evaluation_status,indicator_present,horizon_or_layers_used,depths_used,matrix_colors_used,redox_values_used,texture_used,organic_material_used,failed_requirements,missing_requirements,explanation
34938,S2015ND093009,A1,F,53B,True,INDICATOR_NOT_DEMONSTRATED,False,,,,,,,taxonomy is not qualifying Histosol/Histel,,taxonomy is not qualifying Histosol/Histel
34938,S2015ND093009,A2,F,53B,True,INSUFFICIENT_INFORMATION,,,,,,,,,validated executable rule not included in high-confidence first pass,Approved indicator retained in rulebook but not executed in this first-pass implementation.
34938,S2015ND093009,A3,F,53B,True,INSUFFICIENT_INFORMATION,,,,,,,,no observed layer satisfies all depth/thickness/material/color conditions,explicit organic material type,no observed layer satisfies all depth/thickness/material/color conditions; Missing: explicit organic material type
34938,S2015ND093009,A4,F,53B,True,INSUFFICIENT_INFORMATION,,,,,,,,,validated executable rule not included in high-confidence first pass,Approved indicator retained in rulebook but not executed in this first-pass implementation.
34938,S2015ND093009,A5,F,53B,True,INSUFFICIENT_INFORMATION,,,,,,,,,validated executable rule not included in high-confidence first pass,Approved indicator retained in rulebook but not executed in this first-pass implementation.
34938,S2015ND093009,A6,F,53B,False,NOT_APPLICABLE,,,,,,,,,validated executable rule not included in high-confidence first pass,Approved indicator retained in rulebook but not executed in this first-pass implementation.
34938,S2015ND093009,A7,F,53B,False,NOT_APPLICABLE,,,,,,,,,,Indicator A7 is not approved for LRR F/MLRA 53B.
34938,S2015ND093009,A8,F,53B,False,NOT_APPLICABLE,,,,,,,,,,Indicator A8 is not approved for LRR F/MLRA 53B.
34938,S2015ND093009,A9,F,53B,True,INSUFFICIENT_INFORMATION,,,,,,,,no observed layer satisfies all depth/thickness/material/color conditions,explicit organic material type,no observed layer satisfies all depth/thickness/material/color conditions; Missing: explicit organic material type
34938,S2015ND093009,A10,F,53B,False,NOT_APPLICABLE,,,,,,,,,,Indicator A10 is not approved for LRR F/MLRA 53B.
